image_id,condition,path,split,skin_tone
angioedema-4.jpg,Urticarial Hives,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Urticaria Hives/angioedema-4.jpg,train,
dermagraphism-13.jpg,Urticarial Hives,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Urticaria Hives/dermagraphism-13.jpg,train,
dermagraphism-15.jpg,Urticarial Hives,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Urticaria Hives/dermagraphism-15.jpg,train,
neurofibromas-6.jpg,,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Seborrheic Keratoses and other Benign Tumors/neurofibromas-6.jpg,train,
neurofibromas-7.jpg,,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Seborrheic Keratoses and other Benign Tumors/neurofibromas-7.jpg,train,
hydrocystoma-9.jpg,,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Seborrheic Keratoses and other Benign Tumors/hydrocystoma-9.jpg,train,
syringoma-41.jpg,,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Seborrheic Keratoses and other Benign Tumors/syringoma-41.jpg,train,
granuloma-faciale-5.jpg,,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Seborrheic Keratoses and other Benign Tumors/granuloma-faciale-5.jpg,train,
neurofibromas-4.jpg,,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Seborrheic Keratoses and other Benign Tumors/neurofibromas-4.jpg,train,
granuloma-faciale-4.jpg,,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Seborrheic Keratoses and other Benign Tumors/granuloma-faciale-4.jpg,train,
syringoma-40.jpg,,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Seborrheic Keratoses and other Benign Tumors/syringoma-40.jpg,train,
syringoma-50.jpg,,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Seborrheic Keratoses and other Benign Tumors/syringoma-50.jpg,train,
granuloma-faciale-1.jpg,,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Seborrheic Keratoses and other Benign Tumors/granuloma-faciale-1.jpg,train,
hydrocystoma-10.jpg,,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Seborrheic Keratoses and other Benign Tumors/hydrocystoma-10.jpg,train,
skin-tags-polyps-38.jpg,,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Seborrheic Keratoses and other Benign Tumors/skin-tags-polyps-38.jpg,train,
granuloma-faciale-3.jpg,,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Seborrheic Keratoses and other Benign Tumors/granuloma-faciale-3.jpg,train,
granuloma-faciale-2.jpg,,/Users/jaspreetl/.cache/kagglehub/datasets/haroonalam16/20-skin-diseases-dataset/versions/1/Dataset/train/Seborrheic Keratoses and other Benign Tumors/granuloma-faciale-2.jpg,train,
